iteration,sample,batch_size,learning_rate,metric,result,walltime
008,0006,64,1e-06,0,val_loss,0.006214297842234373,3409
008,0025,64,1e-06,0,val_loss,0.006171949673444033,3353
008,0025,64,1e-06,0,val_loss,0.006171949673444033,3353
008,0025,64,1e-06,0,val_loss,0.006171949673444033,3353
008,0019,64,0.0008922585651154918,0,val_loss,0.0035876294132322073,3313
008,0019,64,0.0008922585651154918,0,val_loss,0.0035876294132322073,3313
008,0019,64,0.0008922585651154918,0,val_loss,0.0035876294132322073,3313
008,0036,64,0.0008922585651154918,0,val_loss,0.003467907663434744,3357
008,0036,64,0.0008922585651154918,0,val_loss,0.003467907663434744,3357
008,0026,128,0.0008922585651154918,0,val_loss,0.0034560728818178177,2241
008,0039,128,0.0008922585651154918,0,val_loss,0.0034130383282899857,2195
008,0039,128,0.0008922585651154918,0,val_loss,0.0034130383282899857,2195
008,0037,128,0.0008922585651154918,0,val_loss,0.003314530709758401,2212
008,0037,128,0.0008922585651154918,0,val_loss,0.003314530709758401,2212
008,0016,128,0.0008922585651154918,0,val_loss,0.0033135476987808943,2197
008,0016,128,0.0008922585651154918,0,val_loss,0.0033135476987808943,2197
008,0012,128,0.0008922585651154918,0,val_loss,0.003298132913187146,2181
008,0012,128,0.0008922585651154918,0,val_loss,0.003298132913187146,2181
008,0012,128,0.0008922585651154918,0,val_loss,0.003298132913187146,2181
008,0002,128,0.0008922585651154918,0,val_loss,0.0032972462940961123,2204
008,0002,128,0.0008922585651154918,0,val_loss,0.0032972462940961123,2204
008,0024,128,0.0008922585651154918,0,val_loss,0.003280902048572898,2186
008,0024,128,0.0008922585651154918,0,val_loss,0.003280902048572898,2186
008,0022,128,0.0008922585651154918,0,val_loss,0.003271985799074173,2256
008,0017,128,0.0008922585651154918,0,val_loss,0.0032661925069987774,2202
008,0017,128,0.0008922585651154918,0,val_loss,0.0032661925069987774,2202
008,0011,128,0.0008922585651154918,0,val_loss,0.003257481148466468,2184
008,0011,128,0.0008922585651154918,0,val_loss,0.003257481148466468,2184
008,0020,128,0.0008922585651154918,0,val_loss,0.0032504438422620296,2437
008,0007,128,0.0008922585651154918,0,val_loss,0.00325030367821455,2186
008,0007,128,0.0008922585651154918,0,val_loss,0.00325030367821455,2186
008,0034,128,0.0008922585651154918,0,val_loss,0.0032242911402136087,2210
008,0034,128,0.0008922585651154918,0,val_loss,0.0032242911402136087,2210
008,0014,256,0.0008922585651154918,0,val_loss,0.0031964981462806463,1708
008,0014,256,0.0008922585651154918,0,val_loss,0.0031964981462806463,1708
008,0038,256,0.0008922585651154918,0,val_loss,0.003190447576344013,1640
008,0038,256,0.0008922585651154918,0,val_loss,0.003190447576344013,1640
008,0008,256,0.0008922585651154918,0,val_loss,0.003183644497767091,1590
008,0008,256,0.0008922585651154918,0,val_loss,0.003183644497767091,1590
008,0008,256,0.0008922585651154918,0,val_loss,0.003183644497767091,1590
008,0001,256,0.0008922585651154918,0,val_loss,0.0031695584766566753,1796
008,0031,128,0.00011333491817844762,0,val_loss,0.003169294446706772,2471
008,0032,128,0.00011333491817844762,0,val_loss,0.0031056655570864677,2186
008,0032,128,0.00011333491817844762,0,val_loss,0.0031056655570864677,2186
008,0015,128,0.00011333491817844762,0,val_loss,0.0030927653424441814,2194
008,0015,128,0.00011333491817844762,0,val_loss,0.0030927653424441814,2194
009,0007,256,0.007870085043872784,0,val_loss,0.03988092020153999,354
009,0007,256,0.007870085043872784,0,val_loss,0.03988092020153999,354
009,0016,128,0.0070538335427933535,0,val_loss,0.03988092020153999,755
009,0014,128,0.007141621144197146,0,val_loss,0.03988092020153999,482
009,0014,128,0.007141621144197146,0,val_loss,0.03988092020153999,482
009,0014,128,0.007141621144197146,0,val_loss,0.03988092020153999,482
009,0011,512,0.012681578160230876,0,val_loss,0.03988092020153999,317
009,0030,256,0.013015255546038872,0,val_loss,0.03988092020153999,362
009,0005,512,1e-06,0,val_loss,0.007586352527141571,1675
009,0034,512,1e-06,0,val_loss,0.007450798526406288,1618
009,0034,512,1e-06,0,val_loss,0.007450798526406288,1618
009,0006,256,1e-06,0,val_loss,0.007091118488460779,1591
009,0006,256,1e-06,0,val_loss,0.007091118488460779,1591
009,0003,256,1e-06,0,val_loss,0.006958858575671911,1884
009,0003,256,1e-06,0,val_loss,0.006958858575671911,1884
009,0000,128,1e-06,0,val_loss,0.0066819326020777225,2265
009,0013,128,1e-06,0,val_loss,0.006577170453965664,2384
009,0013,128,1e-06,0,val_loss,0.006577170453965664,2384
009,0026,128,1e-06,0,val_loss,0.006357187405228615,2653
009,0019,128,0.0008922585651154918,0,val_loss,0.0033106182236224413,2417
009,0019,128,0.0008922585651154918,0,val_loss,0.0033106182236224413,2417
009,0009,128,0.0008922585651154918,0,val_loss,0.003290015272796154,2420
009,0031,256,0.0008922585651154918,0,val_loss,0.0032498950604349375,1645
009,0037,256,0.0008922585651154918,0,val_loss,0.0032286103814840317,1815
009,0010,256,0.00011333491817844762,0,val_loss,0.003205670742318034,1625
